=== Model G: fitting Africa  (tag=G_Africa, N_TRIALS=1500)  21:47:02 ===
[I 2026-08-05 21:47:12,513] A new study created in memory with name: no-name-d6624ac5-5457-4a39-863f-c57d7166b4be
[I 2026-08-05 21:47:13,351] Trial 0 finished with values: [-0.5987025849698353, 0.28965736009087173] and parameters: {'k1': 0.03635503353478365, 'D_low': 70.18267183720735, 'k2': 0.012758211164590085, 'D_high': 2940.51756322311, 'fire_exp': 1.165368636520435, 'P_half': 12.808863354047988, 'pre_dampen_half': 107.40052367919465, 'gpp_af': 0.1476584299248268, 'gpp_b': 0.0005752434266899163, 'gpp_d': 660.9129108295722, 'ign_k': 8.708806168038567, 'ign_c': 20.03995359361212}.
[I 2026-08-05 21:47:14,183] Trial 1 finished with values: [10.767845050731848, 10.767845050731848] and parameters: {'k1': 0.00031489116479568613, 'D_low': 6351.221010640702, 'k2': 0.008471801418819975, 'D_high': 2481.0409748678126, 'fire_exp': 1.4322493718230251, 'P_half': 4.2070539502879365, 'pre_dampen_half': 0.0195172246414495, 'gpp_af': 21.42302175774105, 'gpp_b': 0.040428727350273294, 'gpp_d': 34.70266988650411, 'ign_k': 0.0012087541473056963, 'ign_c': 757.9479953347999}.
[I 2026-08-05 21:47:15,021] Trial 2 finished with values: [10.768796845547943, 10.768796845547943] and parameters: {'k1': 0.021368329072358756, 'D_low': 7.068974950624602, 'k2': 5.3370327626039544e-05, 'D_high': 54.1524411940254, 'fire_exp': 2.0148477884158655, 'P_half': 125.61043700013555, 'pre_dampen_half': 1.4445251022763053, 'gpp_af': 0.028585493941961918, 'gpp_b': 0.046894009635376835, 'gpp_d': 0.04982752357076448, 'ign_k': 0.01474275315991467, 'ign_c': 2.92043384718141}.
[I 2026-08-05 21:47:15,871] Trial 3 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.0006672367170464204, 'D_low': 1382.6232179369867, 'k2': 6.290644294586152e-05, 'D_high': 1140.0863701127325, 'fire_exp': 3.9121416285496955, 'P_half': 1.533916259116362, 'pre_dampen_half': 10.90747583515769, 'gpp_af': 0.007122305833333868, 'gpp_b': 2.4564592152507503e-05, 'gpp_d': 555.1721685244722, 'ign_k': 7.2866537374910445, 'ign_c': 171.23375973163948}.
[I 2026-08-05 21:47:16,695] Trial 4 finished with values: [10.759476173352471, 10.759476173352471] and parameters: {'k1': 0.00016536937182824412, 'D_low': 2.458603276328005, 'k2': 0.005456725485601475, 'D_high': 576.2487216478603, 'fire_exp': 1.324458134009935, 'P_half': 95.65499215943822, 'pre_dampen_half': 0.014857392806279237, 'gpp_af': 35.20481045526041, 'gpp_b': 0.0003570095960030948, 'gpp_d': 20.54051942538844, 'ign_k': 0.017654048052495083, 'ign_c': 12.03017887115466}.
[I 2026-08-05 21:47:17,564] Trial 5 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.0015375920235481753, 'D_low': 5.488047000766042, 'k2': 0.07556810141274425, 'D_high': 12604.664585649456, 'fire_exp': 8.699593128513321, 'P_half': 3795.8531426706395, 'pre_dampen_half': 9.761125443110442, 'gpp_af': 40.679084943595456, 'gpp_b': 3.395900933162749e-05, 'gpp_d': 0.09548041810464164, 'ign_k': 0.0015167330688076208, 'ign_c': 2.001342062287997}.
[I 2026-08-05 21:47:18,436] Trial 6 finished with values: [10.76264876251934, 10.76264876251934] and parameters: {'k1': 0.00035868164986275477, 'D_low': 12.172958098369968, 'k2': 0.02065142557895925, 'D_high': 267.3088310781672, 'fire_exp': 1.9095652801045373, 'P_half': 148.17820606039086, 'pre_dampen_half': 0.050654860639753524, 'gpp_af': 10.25616274847308, 'gpp_b': 2.800940363375676e-05, 'gpp_d': 859.8737339212263, 'ign_k': 1.2273800987852967, 'ign_c': 0.6235377135673155}.
[I 2026-08-05 21:47:19,307] Trial 7 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 1.0521761868451132e-05, 'D_low': 1827.4508859816024, 'k2': 0.00672093005015611, 'D_high': 8241.92526487646, 'fire_exp': 5.905685925060636, 'P_half': 1.9777828512462716, 'pre_dampen_half': 0.6199100007802261, 'gpp_af': 0.0037961668958008117, 'gpp_b': 1.5087613675681661, 'gpp_d': 13.076473382928533, 'ign_k': 0.021066486017042207, 'ign_c': 0.17956984225677627}.
[I 2026-08-05 21:47:20,175] Trial 8 finished with values: [10.769214591464875, 10.769214591464875] and parameters: {'k1': 0.00017535949529764417, 'D_low': 19.986340778528874, 'k2': 0.008287522363768155, 'D_high': 3550.0125258511603, 'fire_exp': 7.712811947156349, 'P_half': 77.42116473996248, 'pre_dampen_half': 0.039625178325723404, 'gpp_af': 3.6831884165358977, 'gpp_b': 0.36703737625293875, 'gpp_d': 6.403036652671167, 'ign_k': 1.2130221181165162, 'ign_c': 9.444574254983557}.
[I 2026-08-05 21:47:20,997] Trial 9 finished with values: [10.7692209625989, 10.7692209625989] and parameters: {'k1': 0.0012329098365270509, 'D_low': 51.30551760589834, 'k2': 1.263794633808287e-05, 'D_high': 27.012557725439073, 'fire_exp': 1.075051292556307, 'P_half': 351.2704726270846, 'pre_dampen_half': 0.37306104754535907, 'gpp_af': 0.34902252478382495, 'gpp_b': 2.788681037423117, 'gpp_d': 0.17638479543546878, 'ign_k': 0.04380580767905655, 'ign_c': 105.24574681335613}.
[I 2026-08-05 21:47:21,853] Trial 10 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 8.226074946221034e-05, 'D_low': 2.0319809838424976, 'k2': 0.00014421346497969477, 'D_high': 44.1453687649448, 'fire_exp': 8.505456981059524, 'P_half': 1707.9750342958232, 'pre_dampen_half': 14.689898077648792, 'gpp_af': 22.766850248686247, 'gpp_b': 0.6637926838138378, 'gpp_d': 0.08567424667875059, 'ign_k': 3.7173717478250508, 'ign_c': 14.367095138664217}.
